Date,Close,Open,High,Low,Volume,Change
1981-05-01,-1.308271671930197,-1.3081819965524273,-1.3095394077058953,-1.3073333950377628,-0.8478652375737238,0.6406415180758547
1981-05-02,-1.3084095427260225,-1.3083198003670382,-1.3096765330462155,-1.3074721121967052,-0.8524309479575048,-0.0827645735101335
1981-05-04,-1.3124077958049616,-1.312316110990754,-1.3136531679155001,-1.3114949098060298,-0.8528202720987574,-1.631945543227297
1981-05-06,-1.312269925009136,-1.312178307176143,-1.31351604257518,-1.3113561926470874,-0.8536697065887632,0.026428798804732645
1981-05-07,-1.314200116150693,-1.3141075605806958,-1.3154357973396624,-1.3132982328722786,-0.8544129617675182,-0.8198198366354799
1981-05-08,-1.3150273409256459,-1.314934383468361,-1.3162585493815833,-1.3141305358259319,-0.8557932928137777,-0.3693971758366571
1981-05-09,-1.3148894701298206,-1.3147965796537502,-1.316121424041263,-1.3139918186669899,-0.8575346335182895,0.026428798804732645
1981-05-12,-1.3148894701298206,-1.3147965796537502,-1.316121424041263,-1.3139918186669899,-0.8577292955889159,-0.028167887352700427
1981-05-13,-1.31337289137574,-1.3132807376930302,-1.3146130452977414,-1.3124659299186254,-0.8566144128207832,0.6065185892274589
1981-05-14,-1.3111669586425323,-1.311075876659256,-1.3124190398526188,-1.3102464553755497,-0.8554747548800254,0.8795020200146243
1981-05-15,-1.3113048294383578,-1.311213680473867,-1.312556165192939,-1.310385172534492,-0.8541652100412666,-0.0827645735101335
1981-05-16,-1.3111669586425323,-1.311075876659256,-1.3124190398526188,-1.3102464553755497,-0.8576337342087902,0.026428798804732645
1981-05-18,-1.3117184418258343,-1.3116270919176996,-1.3129675412138992,-1.3108013240113185,-0.8564445259227821,-0.2533792177521118
1981-05-19,-1.3119941834174853,-1.3119026995469214,-1.3132417918945396,-1.3110787583292032,-0.856281717645531,-0.1441858454372457
1981-05-20,-1.3113048294383578,-1.311213680473867,-1.312556165192939,-1.310385172534492,-0.8546607134937699,0.2516401292041372
1981-05-21,-1.3113048294383578,-1.311213680473867,-1.312556165192939,-1.310385172534492,-0.8553331824650245,-0.028167887352700427
1981-05-22,-1.3121320542133108,-1.3120405033615323,-1.31337891723486,-1.3112174754881454,-0.8561790776446553,-0.36257259006697795
1981-05-23,-1.312545666600787,-1.3124539148053649,-1.3137902932558203,-1.311633626964972,-0.8567170528216589,-0.19878253159467876
1981-05-25,-1.3111669586425323,-1.311075876659256,-1.3124190398526188,-1.3102464553755497,-0.8557578997100275,0.5382727315306677
1981-05-26,-1.30909889670515,-1.3090088194400926,-1.3103621597478163,-1.3081656979914162,-0.8533865617587613,0.811256162317833
